RUNID	Date start	Date end	ANSAMP	MCMID	Bond OK	Data OK	Median per row	Median per col	Noise	Noise error	Gain	Gain error	SER	SER error
211	2025-04-08T13:53:14	2025-04-08T15:20:57	300	49	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]	[5.0, 4.0, 4.0, 2.5, 6.0, 4.0, 1.5, 3.0, 6.0, 18.0, -2.0, 5.0, 4.0, 5.0, 2.0, 3.0]	[4.5, 3.5, 3.5, 2.5, 5.0, 3.5, 2.0, 3.5, 5.0, 20.0, -2.0, 5.0, 4.0, 5.0, 2.0, 3.0]	[60.35, 64.09, 60.88, 62.36, 57.36, 61.92, 64.18, 62.92, 64.89, 61.89, -1, 62.57, 62.37, 63.29, 61.13, 64.16]	[0.28, 0.29, 0.27, 0.24, 0.27, 0.24, 0.27, 0.31, 0.28, 0.28, -1, 0.29, 0.31, 0.29, 0.25, 0.29]	[274.76, 277.87, 265.73, 278.37, 272.92, 268.7, 290.65, 276.6, 280.04, 275.31, -1, 286.98, 279.15, 274.16, 273.33, 283.78]	[1.24, 1.46, 1.29, 1.3, 0.92, 1.42, 1.98, 1.68, 1.2, 0.81, -1, 1.28, 1.08, 1.31, 1.5, 1.68]	[0.07204, 0.06445, 0.06091, 0.05254, 0.07913, 0.05654, 0.04611, 0.05373, 0.07067, 0.1142, -1, 0.06103, 0.07023, 0.06384, 0.05675, 0.04827]	[0.00113, 0.00116, 0.00095, 0.00082, 0.00099, 0.00094, 0.00099, 0.00108, 0.00096, 0.00158, -1, 0.001, 0.00092, 0.00098, 0.00089, 0.00077]
211	2025-04-08T13:53:14	2025-04-08T15:20:57	300	19	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[7.0, 8.0, 5.0, 13.0, 13.0, 7.0, 9.0, 9.0, 10.0, 12.0, 13.0, 25.0, 9.0, 7.0, 18.0, 2285.75]	[0.5, 7.5, 6.0, 11.0, 12.0, 7.5, 9.0, 7.0, 9.0, 10.5, 12.0, 11.0, 12.0, 7.5, 15.0, 2686.5]	[-1, 59.31, 58.49, 58.95, 58.7, 55.96, 59.46, 59.01, 57.74, 59.42, 57.2, 56.94, 57.52, 58.37, 56.54, 58.02]	[-1, 0.28, 0.25, 0.23, 0.23, 0.25, 0.25, 0.27, 0.21, 0.23, 0.22, 0.25, 0.23, 0.22, 0.23, 0.28]	[-1, 254.6, 247.92, 168.26, 252.52, 251.74, 250.21, 249.08, 251.55, 250.96, 250.98, 255.68, 243.28, 252.86, 165.72, 258.02]	[-1, 0.83, 1.02, 3.44, 0.75, 0.93, 0.98, 1.08, 0.77, 0.96, 0.87, 1.08, 0.92, 0.92, 3.45, 0.89]	[-1, 0.0943, 0.08132, 0.04514, 0.12405, 0.09536, 0.10049, 0.06978, 0.11798, 0.09432, 0.09422, 0.07079, 0.11041, 0.09012, 0.03516, 0.1957]	[-1, 0.00129, 0.00119, 0.00159, 0.00127, 0.00121, 0.00109, 0.00092, 0.0013, 0.00135, 0.0012, 0.00438, 0.00123, 0.00112, 0.00148, 0.00244]
211	2025-04-08T13:53:14	2025-04-08T15:20:57	300	15	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]	[27.0, 8.0, 6.25, 9.0, 18.0, 13.0, 9.0, 5.25, 14.0, 7.75, 9.5, 5.75, 10.0, -1, 9.0, 10.0]	[14.5, 8.0, 7.0, 8.0, 15.0, 10.0, 9.0, 5.5, 12.0, 6.5, 8.5, 6.0, 9.0, -1, 7.0, 9.0]	[54.61, 62.35, 66.63, 56.81, 56.65, 62.03, 59.81, 55.14, 56.56, 62.87, 65.55, 55.21, 57.2, -1, 62.78, 55.55]	[0.28, 0.23, 0.3, 0.23, 0.23, 0.29, 0.25, 0.25, 0.21, 0.29, 0.28, 0.22, 0.26, -1, 0.26, 0.2]	[224.51, 244.11, 247.86, 246.1, 248.47, 251.26, 237.89, 242.15, 241.63, 248.37, 249.81, 197.26, 240.1, -1, 258.29, 140.84]	[1.91, 1.19, 1.38, 0.96, 0.85, 1.03, 1.13, 0.9, 0.9, 1.25, 1.33, 1.44, 0.95, -1, 1.09, 3.9]	[0.15873, 0.08813, 0.0859, 0.09684, 0.12539, 0.10237, 0.09835, 0.08693, 0.12955, 0.07803, 0.08579, 0.08815, 0.11519, -1, 0.08765, 0.03367]	[0.00334, 0.00121, 0.00121, 0.00123, 0.00128, 0.00134, 0.00114, 0.00101, 0.00127, 0.00118, 0.00126, 0.00113, 0.00111, -1, 0.00116, 0.00178]
211	2025-04-08T13:53:14	2025-04-08T15:20:57	300	20	[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]	[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]	[13.0, -1, 7.0, 7.0, 10.0, -1, 10.0, 6.0, 12.0, -1, -1, 6.0, 11.0, -1, 0.0, 8.5]	[11.0, -1, 7.0, 5.5, 11.0, -1, 9.5, 5.0, 11.5, -1, -1, 5.75, 10.5, -1, 0.0, 7.5]	[55.29, -1, 53.12, 56.17, 55.64, -1, 53.12, 55.39, 55.88, -1, -1, 52.82, 54.37, -1, 54.02, 55.14]	[0.2, -1, 0.22, 0.21, 0.21, -1, 0.2, 0.23, 0.21, -1, -1, 0.21, 0.21, -1, 0.22, 0.22]	[242.19, -1, 155.92, 203.34, 249.28, -1, 243.09, 251.61, 249.23, -1, -1, 238.6, 250.62, -1, -12234.54, 250.95]	[0.85, -1, 1.65, 1.15, 0.77, -1, 0.91, 0.8, 0.84, -1, -1, 0.95, 0.69, -1, inf, 0.79]	[0.12573, -1, 0.092, 0.09465, 0.12, -1, 0.09727, 0.08907, 0.11286, -1, -1, 0.08377, 0.12388, -1, 0.0, 0.10357]	[0.00112, -1, 0.00196, 0.00118, 0.00119, -1, 0.00126, 0.00095, 0.00131, -1, -1, 0.0011, 0.00115, -1, 0.00019, 0.0011]
211	2025-04-08T13:53:14	2025-04-08T15:20:57	300	18	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[11.0, 9.0, 9.0, 6.0, 11.0, 4.0, 4.25, 13.5, 9.0, 11.0, 3.0, 6.0, 9.0, 6.0, 5.25, 7.75]	[10.0, 8.5, 8.0, 5.0, 10.0, 4.25, 4.0, 11.0, 8.5, 9.0, 2.5, 6.0, 9.0, 5.5, 6.0, 6.0]	[55.21, 53.36, 52.25, 54.81, 56.42, 53.39, 56.04, 52.95, 53.26, 56.1, 55.01, 54.5, 54.06, 54.67, 56.12, 56.57]	[0.21, 0.21, 0.2, 0.22, 0.21, 0.19, 0.23, 0.19, 0.2, 0.22, 0.26, 0.23, 0.24, 0.23, 0.22, 0.22]	[249.06, 183.66, 243.44, 240.54, 247.95, 239.42, 178.88, 238.12, 233.77, 154.59, 248.49, 250.97, 246.36, 241.86, 247.06, 255.65]	[0.74, 1.46, 0.84, 0.83, 0.84, 1.03, 1.51, 0.96, 0.87, 3.88, 1.07, 0.84, 0.71, 0.96, 0.93, 0.66]	[0.133, 0.10232, 0.10418, 0.0916, 0.12262, 0.08375, 0.07501, 0.10264, 0.11272, 0.02275, 0.07124, 0.08714, 0.12848, 0.09549, 0.08656, 0.10934]	[0.00116, 0.00135, 0.00108, 0.00089, 0.00129, 0.00115, 0.00133, 0.00126, 0.00116, 0.00158, 0.00104, 0.00115, 0.00104, 0.00107, 0.00093, 0.00089]
211	2025-04-08T13:53:14	2025-04-08T15:20:57	300	48	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[-1.0, -2.0, -2.25, -1.0, -0.5, -2.0, 3.0, 0.0, -2.5, -1.0, 0.0, -1.0, -1.0, -2.0, -2.5, 1.75]	[-1.0, -2.0, -1.75, -0.5, -0.5, -1.5, 2.5, -0.5, -2.5, -1.0, -0.5, -1.0, -1.0, -2.0, -2.0, 1.0]	[54.41, 55.39, 53.65, 58.23, 57.96, 60.34, 54.89, 56.18, 56.4, 55.77, 55.19, 57.81, 53.84, 58.6, 55.03, 58.03]	[0.21, 0.26, 0.18, 0.24, 0.26, 0.28, 0.23, 0.26, 0.25, 0.23, 0.21, 0.23, 0.2, 0.23, 0.24, 0.23]	[268.73, 264.86, 264.58, -194.22, 272.8, 275.55, -1, 271.47, -1, 244.82, 247.02, 262.68, 264.18, 282.85, -1, 287.68]	[3.07, 4.35, 3.81, 860.51, 3.65, 4.54, -1, 3.46, -1, 4.12, 2.45, 3.69, 2.77, 5.17, -1, 1.52]	[0.01539, 0.01301, 0.01345, 0.00052, 0.01641, 0.01595, -1, 0.01779, -1, 0.0142, 0.02006, 0.0174, 0.02055, 0.01035, -1, 0.03172]	[0.00077, 0.00087, 0.00073, 0.00115, 0.00085, 0.00096, -1, 0.00105, -1, 0.00097, 0.00099, 0.00083, 0.00083, 0.00083, -1, 0.00078]
211	2025-04-08T13:53:14	2025-04-08T15:20:57	300	47	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]	[-2.75, -2.0, -1.0, 0.0, -1.0, -1.0, -1.0, 1.0, 1.0, -2.0, -3.0, -1, -1.5, -2.0, -2.0, -2.0]	[-2.0, -1.5, 0.0, -0.5, -1.0, -1.5, -1.5, 1.0, 1.0, -1.5, -3.0, -1, -2.0, -1.5, -2.0, -1.5]	[57.4, 58.4, 57.78, 57.24, 57.15, 58.93, 59.44, 58.71, 56.69, 57.44, -1, -1, 58.86, 59.74, 57.61, 55.67]	[0.26, 0.23, 0.25, 0.27, 0.24, 0.26, 0.24, 0.23, 0.25, 0.23, -1, -1, 0.26, 0.24, 0.23, 0.24]	[-1, -43.0, 273.75, 265.04, 265.06, 274.46, 266.29, 134.04, 280.31, 267.17, -1, -1, 280.17, 274.24, 279.13, 273.87]	[-1, 751.66, 3.16, 3.36, 3.5, 4.72, 3.76, 5.55, 1.87, 4.08, -1, -1, 5.15, 4.42, 3.45, 3.33]	[-1, -1, 0.02032, 0.01537, 0.01699, 0.01308, 0.01468, 0.01324, 0.02936, 0.01706, -1, -1, 0.01507, 0.01461, 0.01417, 0.01794]	[-1, -1, 0.00083, 0.00083, 0.00079, 0.0009, 0.00087, 0.00144, 0.0008, 0.00085, -1, -1, 0.00093, 0.00075, 0.00092, 0.00088]
211	2025-04-08T13:53:14	2025-04-08T15:20:57	300	21	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[5.0, 6.0, 8.0, 8.75, 8.0, 4.75, 6.0, 10.0, 9.0, 8.0, 9.0, 7.0, 6.0, 7.0, 9.25, 9.0]	[4.5, 3.5, 8.0, 9.0, 8.0, 4.0, 5.0, 8.25, 8.0, 7.5, 10.0, 6.0, 5.25, 5.0, 6.5, 7.5]	[53.36, 54.15, 53.58, 53.09, 53.54, 56.96, 53.58, 56.85, 52.18, 54.24, 53.24, 52.72, 53.18, 53.72, 53.92, 53.22]	[0.2, 0.18, 0.21, 0.21, 0.2, 0.24, 0.21, 0.24, 0.18, 0.23, 0.21, 0.2, 0.19, 0.2, 0.18, 0.17]	[238.63, 232.88, 247.49, 152.07, 134.82, 239.81, 245.38, 252.22, 240.37, 156.34, 158.62, 133.54, 233.89, 228.77, 249.51, 249.12]	[0.71, 1.12, 0.8, 3.77, 1.74, 1.05, 0.91, 0.88, 0.75, 4.58, 3.44, 2.43, 0.87, 1.12, 0.86, 0.8]	[0.10383, 0.08087, 0.09605, 0.03596, 0.10342, 0.07597, 0.08104, 0.09668, 0.11039, 0.02163, 0.04461, 0.06775, 0.09591, 0.08824, 0.09466, 0.10074]	[0.00084, 0.00115, 0.00122, 0.00148, 0.00194, 0.00115, 0.00125, 0.0011, 0.00107, 0.00182, 0.00182, 0.00206, 0.00117, 0.00118, 0.00111, 0.00124]
211	2025-04-08T13:53:14	2025-04-08T15:20:57	300	46	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[1.0, -1.25, -1.0, -1.0, 0.0, 0.0, -1.25, -1.0, 1.0, 0.25, 0.0, -2.0, 0.0, -1.75, -1.0, -1.0]	[0.0, -1.5, -1.0, -1.0, 0.0, 0.0, -1.0, 0.0, 1.0, 0.5, 0.0, -2.0, 0.5, -1.0, -1.0, -1.5]	[56.55, 58.92, 59.0, 54.28, 55.09, 55.27, 63.14, 56.54, 59.98, 61.8, 56.45, 59.13, 57.82, 58.9, 62.42, 57.86]	[0.21, 0.31, 0.25, 0.22, 0.22, 0.22, 0.27, 0.21, 0.25, 0.22, 0.25, 0.24, 0.23, 0.23, 0.24, 0.22]	[275.15, 267.12, 275.81, 280.08, 257.55, 273.0, 279.86, 267.8, 264.23, 274.26, 273.19, 273.33, 268.76, 270.12, 283.44, 270.54]	[2.9, 3.91, 4.62, 3.11, 2.68, 2.32, 4.62, 2.88, 3.06, 2.41, 3.25, 4.23, 1.87, 4.15, 3.45, 4.33]	[0.02191, 0.01501, 0.0121, 0.01896, 0.02345, 0.0238, 0.01443, 0.01751, 0.02264, 0.02578, 0.01851, 0.01364, 0.02917, 0.01634, 0.02011, 0.01288]	[0.001, 0.0009, 0.0008, 0.00088, 0.00102, 0.00087, 0.00075, 0.00084, 0.00083, 0.00097, 0.00081, 0.00085, 0.0007, 0.00095, 0.00088, 0.0008]
211	2025-04-08T13:53:14	2025-04-08T15:20:57	300	44	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]	[0.0, -1.0, -1.0, 0.0, 0.0, -1.0, 0.0, -1.0, 1.0, -1.0, 0.5, -1.0, -1.0, -1, 0.0, 0.0]	[0.0, -1.0, -1.0, -0.5, -0.5, -0.5, 0.0, -1.0, 1.0, -1.0, 0.0, -1.0, -1.0, -1, 0.0, 0.0]	[53.07, 54.94, 55.41, 57.88, 55.37, 56.09, 54.84, 57.43, 52.64, 59.82, 55.19, 53.79, 55.41, -1, 54.93, 56.36]	[0.18, 0.19, 0.2, 0.26, 0.2, 0.22, 0.21, 0.2, 0.21, 0.23, 0.2, 0.21, 0.23, -1, 0.22, 0.25]	[270.27, 284.09, 267.55, -1, 256.72, 271.31, -1, 271.01, -3.89, 279.87, 272.27, 263.49, 274.97, -1, 268.47, 268.64]	[1.77, 2.96, 2.98, -1, 2.97, 2.7, -1, 3.92, 60496.29, 2.97, 2.16, 3.05, 2.89, -1, 2.38, 2.41]	[0.02625, 0.01688, 0.01918, -1, 0.01896, 0.01821, -1, 0.01699, -1, 0.01889, 0.02378, 0.01911, 0.02129, -1, 0.02469, 0.02258]	[0.00094, 0.00092, 0.00093, -1, 0.00082, 0.00087, -1, 0.00098, -1, 0.00079, 0.00081, 0.00093, 0.00097, -1, 0.00079, 0.0009]
